epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2189.23,2.45707,2.42251,2.23469,0.21939,0.17105,0.11865,0.04346,2.48083,2.85614,2.31273,0.0011882,0.0011882,0.0011882
43,2238.7,2.49099,2.39442,2.25978,0.29352,0.14912,0.13093,0.04834,2.49689,2.62538,2.28684,0.0011684,0.0011684,0.0011684
44,2288.14,2.42388,2.39545,2.21095,0.26697,0.1886,0.14965,0.05351,2.44382,2.74249,2.23614,0.0011486,0.0011486,0.0011486
45,2338.41,2.49054,2.4083,2.23435,0.32439,0.13596,0.13292,0.04499,2.47941,3.05007,2.24432,0.0011288,0.0011288,0.0011288
46,2388.16,2.45474,2.43449,2.22358,0.26825,0.18421,0.14052,0.05573,2.44394,2.60336,2.24108,0.001109,0.001109,0.001109
47,2437.94,2.46943,2.38787,2.23346,0.36029,0.16667,0.16982,0.06797,2.40364,2.488,2.22559,0.0010892,0.0010892,0.0010892
48,2488.02,2.4738,2.36105,2.21203,0.35293,0.15789,0.14911,0.06037,2.49356,2.5907,2.26798,0.0010694,0.0010694,0.0010694
49,2537.73,2.4745,2.39836,2.26399,0.30101,0.16667,0.16067,0.05807,2.482,2.5622,2.3035,0.0010496,0.0010496,0.0010496
50,2587.45,2.45209,2.40736,2.20382,0.34258,0.16228,0.16377,0.06364,2.4817,2.58461,2.25128,0.0010298,0.0010298,0.0010298
51,2637.72,2.43068,2.33795,2.16659,0.29539,0.17105,0.17022,0.0703,2.41125,2.50006,2.18926,0.00101,0.00101,0.00101
52,2687.69,2.38055,2.305,2.10204,0.32113,0.19737,0.19582,0.07739,2.34062,2.43433,2.16778,0.0009902,0.0009902,0.0009902
53,2737.75,2.38066,2.29186,2.08452,0.34421,0.18421,0.19428,0.07374,2.37782,2.42907,2.22167,0.0009704,0.0009704,0.0009704
54,2787.71,2.36704,2.26573,2.14127,0.30926,0.16228,0.17169,0.06677,2.44305,2.47369,2.27677,0.0009506,0.0009506,0.0009506
55,2837.54,2.32055,2.24872,2.11723,0.34168,0.17544,0.18393,0.07138,2.40372,2.49287,2.19884,0.0009308,0.0009308,0.0009308
56,2887.26,2.34962,2.24574,2.10035,0.36943,0.17982,0.18052,0.07399,2.4552,2.49724,2.21983,0.000911,0.000911,0.000911
57,2936.96,2.28454,2.21214,2.09555,0.44431,0.15351,0.16857,0.06407,2.51389,2.56312,2.24688,0.0008912,0.0008912,0.0008912
58,2986.91,2.3616,2.18454,2.07648,0.3486,0.2193,0.21042,0.08238,2.38633,2.34234,2.2233,0.0008714,0.0008714,0.0008714
59,3036.63,2.35175,2.21052,2.0862,0.35081,0.23684,0.21046,0.07306,2.45236,2.37332,2.23753,0.0008516,0.0008516,0.0008516
60,3086.62,2.31658,2.22661,2.10327,0.31152,0.23815,0.19772,0.07563,2.36534,2.41136,2.17829,0.0008318,0.0008318,0.0008318
61,3136.18,2.32311,2.24803,2.07891,0.32866,0.20614,0.18984,0.07643,2.40761,2.58304,2.18575,0.000812,0.000812,0.000812
62,3185.83,2.32744,2.21301,2.09532,0.29194,0.20255,0.18618,0.07641,2.37888,2.53788,2.17498,0.0007922,0.0007922,0.0007922
63,3235.25,2.3236,2.18663,2.1098,0.41454,0.15789,0.16823,0.07306,2.43104,2.53694,2.20995,0.0007724,0.0007724,0.0007724
64,3284.92,2.32198,2.26224,2.11934,0.32203,0.22807,0.1846,0.07873,2.36563,2.43732,2.1651,0.0007526,0.0007526,0.0007526
65,3337.98,2.26589,2.21579,2.05996,0.30419,0.19737,0.18277,0.07879,2.36134,2.42838,2.1684,0.0007328,0.0007328,0.0007328
66,3391.99,2.32056,2.17422,2.05968,0.285,0.1886,0.18373,0.07383,2.35068,2.39814,2.16804,0.000713,0.000713,0.000713
67,3444.85,2.30269,2.15271,2.08272,0.3026,0.12561,0.14401,0.06002,2.50732,2.72457,2.26019,0.0006932,0.0006932,0.0006932
68,3495.57,2.19044,2.11604,2.01972,0.43228,0.15789,0.18652,0.07855,2.28524,2.44493,2.0892,0.0006734,0.0006734,0.0006734
69,3546.7,2.26745,2.18985,2.06799,0.28492,0.21491,0.19061,0.08475,2.30697,2.45884,2.12338,0.0006536,0.0006536,0.0006536
70,3598.07,2.2823,2.1581,2.04133,0.39943,0.17544,0.18534,0.07774,2.39286,2.42228,2.17147,0.0006338,0.0006338,0.0006338
71,3649.01,2.265,2.17221,2.02703,0.29784,0.18421,0.20019,0.08352,2.32964,2.36975,2.10582,0.000614,0.000614,0.000614
72,3700.64,2.22805,2.13243,1.99261,0.31568,0.19737,0.20111,0.07845,2.43961,2.47814,2.17343,0.0005942,0.0005942,0.0005942
73,3752.57,2.2672,2.16418,2.05746,0.35428,0.23246,0.22883,0.08858,2.34087,2.33473,2.16715,0.0005744,0.0005744,0.0005744
74,3804,2.23386,2.09883,2.02349,0.36257,0.20614,0.19299,0.0838,2.31937,2.37829,2.14669,0.0005546,0.0005546,0.0005546
75,3856.57,2.24897,2.1818,2.05596,0.34767,0.21053,0.20088,0.07702,2.35597,2.41614,2.14606,0.0005348,0.0005348,0.0005348
